img_id, ans, marks
IMG11, ୱେଲସେଲି ସାମନ୍ତ ସନ୍ଧି ପ୍ରଚଳନ କରିଥିଲେ| ତାଙ୍କର ଅନ୍ୟ ନାମ ଅଧୀନତା ମୂଳକ ମିତ୍ରତା| ଦେଶୀୟ ରାଜ୍ୟଗୁଡିକର ରାଜା ଏହି ସନ୍ଧି ଗ୍ରହଣ କରିପାରିବେ| ତାଙ୍କ ପୋଷ୍ୟପୁତ୍ର ଗ୍ରହଣ କରିପାରିବେ ନାହିଁ| ରେଗୁଲେଟିଙ୍ଗ ଆକ୍ଟ ବା ନିୟାମକ ଆଇନର ଦୋଷତୃଟିକୁ ସୁଧାରିବା ପାଇଁ ବିଲାତର ପାର୍ଲିଆମେଣ୍ଟ ଲର୍ଡ଼ସାହିବ ଏହି ଯୋଜନା କରିଥିଲେ|, 2
IMG12, NAN, 4.5
IMG13, ସାମନ୍ତ ସନ୍ଧି ପ୍ରଥା ଲର୍ଡ଼ ୱେଲସେଲି ପ୍ରଣୟନ କରିଥିଲେ| ଏହି ପ୍ରଥାର ଅର୍ଥ ହେଲା ଅଧୀନତାମୂଳକ ମିତ୍ରତା ଅର୍ଥାତ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଅଧୀନରେ ରହି ସେମାଙ୍କ ସହ ମିତ୍ରତା ସ୍ଥାପନ କରିବା| ଏହାର ସର୍ତ ଗୁଡିକ ହେଲା ଇଂଗ୍ରେଜ଼ ସୈନ୍ୟ ମାନଂକୁ ଦରମା ଦେବା କିମ୍ବା ନିଜ ସାମ୍ରାଜ୍ୟର ଖଣ୍ଡେ ଅଂଶ ସେମାନଙ୍କୁ ପ୍ରଦାନ କରିବେ| ଏହାକୁ ଆଗେ ହାଇଦ୍ରାବାଦର ନିଜାମ ଓ ପରେ ଅନେକ ରାଜା ମାନେ ଗ୍ରହଣ କରିଥିଲେ|, 1
IMG14, NAN, 3.5
IMG15, NAN, 3.5
IMG16, ଭାରତୀୟ ସାମ୍ରାଜ୍ୟ ଉପରେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଶାସନ ବିସ୍ତାର କରିବା ପାଇଁ ୱେଲସେଲି ଏକ ନୂଆ ପ୍ରଥା ପ୍ରଚଳନ କରିଥିଲେ ତାହା ହଉଚି ସାମନ୍ତ ସନ୍ଧି| ଏହାର ଅର୍ଥ ଅଧୀନତାମୂଳକ ମିତ୍ରତା| ଯେଉଁ ଦେଶୀୟ ରାଜା ଗୁଡିକ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଅଧୀନରେ ରହି ମିତ୍ର ହେବେ| ସେମାନେ କୌଣସି ବୈଦେଶିକ ଦେଶ ସହ ସମ୍ପର୍କ ରଖି ପାରିବେ ନାହିଁ| ସେମାନେ ନିଜ ଖର୍ଚରେ ଦଳେ ଇଂଗ୍ରେଜ଼ ସୈନ୍ୟଙ୍କୁ ନିଜ ସୁରକ୍ଷାରେ ରଖିବେ| ସେମାନଙ୍କୁ ଖର୍ଚ ଦେବାକୁ ଅସମର୍ଥ ହେଲେ ନିଜ ରାଜ୍ୟର ଏକ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକ ପାଇଁ ଛାଡ଼ିଦେବେ| ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କରିଥିଲେ ତାପରେ ଅଯୋଧ୍ୟାର ନବାବ ଏହାକୁ ଗ୍ରହଣ କଲେ| ଭୋନ୍ସଲା ଓ ସିନ୍ଧିଆ ରାଜା ମାନେ ଗ୍ରହଣକଲେ| ଯୋଧପୁର ଉଦୟପୁର ଭଳି ରାଜ୍ୟ ମାନେ ଏହାକୁ ଗ୍ରହଣ କରିଥିଲେ|, 4.5
IMG17, ଭାରତରେ ରାଜ୍ୟ ବିସ୍ତାର କରିବା ପାଇଁ ଲର୍ଡ଼ ୱେଲସେଲି ଯେଉଁ ପନ୍ଥା ଅବଲମ୍ବନ କରିଥିଲେ ତାହାକୁ ସାମନ୍ତ ସନ୍ଧି କୁହାଯାଏ| ଯେଉଁ ରାଜ୍ୟ ଗୁଡିକ ଇଂଗ୍ରେଜ଼ ମାନଂକ ମିତ୍ରରେ ରହିବେ ତାଙ୍କ ଅଧୀନରେ ମଧ୍ୟ ରହିବେ| ଇଂଗ୍ରେଜ଼ ମାନଂକ ବିନା ଅନୁମତିରେ କୌଣସି ଦେଶର ରାଜା ଅନ୍ୟ ଦେଶ ସହ କୌଣସି ସମ୍ପର୍କ ରଖିବେ ନାହିଁ| ମିତ୍ର ରାଜ୍ୟର ରାଜା ଇଂଗ୍ରେଜ଼ ସୈନ୍ୟ ମାନଂକୁ ନିଜ ଖର୍ଚରେ ରଖିବେ କିମ୍ବା ନିଜ ରାଜ୍ୟର କିଛି ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବେ| ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କରିଥିଲେ| ପରେ ଅଯୋଧ୍ୟାର ନବାବ ମରହଟ୍ଟା ରାଜପୁତନା ଅଂଚଳ ଯଥା ମେୱାର ମାରୱାର ଅମ୍ବର ଓଡିଶାର ସମ୍ବଲପୁର ଯଇତପୁର ନାଗପୁର ସତାରା ଝାନ୍ସୀ ଆଦି ଅଂଚଳର ରାଜା ତାଙ୍କ ରାଜ୍ୟର କିଛି ଅଂଶ ଦେଇଥିଲେ|, 5
IMG18, NAN, 5
IMG19, ବ୍ରିଟିଶ ସାମ୍ରାଜ୍ୟବାଦୀ ଶାସକ ଲର୍ଡ଼ ୱେଲସେଲି ସାମନ୍ତ ସନ୍ଧି ପ୍ରଥା ପ୍ରଣୟନ କରିଥିଲେ| ବ୍ରିଟିଶ ସାମ୍ରାଜ୍ୟର ବିସ୍ତାର ପାଇଁ ଏହି ନୀତି ବା ପ୍ରଥା ପ୍ରଣୟନ କରିଥିଲେ| ଏହି ପ୍ରଥା ଅନୁସାରେ ଯେଉଁ ଭାରତୀୟ ରାଜା ବା ସମ୍ରାଟ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ବିନା ଅନୁମତିରେ କୌଣସି ଦେଶୀୟ କିମ୍ବା ବିଦେଶୀ ଶକ୍ତି ସହ ସମ୍ବନ୍ଧ ରଖି ପାରିବେ ନାହିଁ| ଯେଉଁ ରାଜା ମାନେ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ମିତ୍ର ହୋଇ ସେମାନଙ୍କ ଅଧୀନରେ ରହିବେ| ନିଜ ଖର୍ଚରେ ଦଳେ ଇଂଗ୍ରେଜ଼ ସୈନ୍ୟଙ୍କୁ ନିଜ ରାଜ୍ୟରେ ରଖିବେ| ସୈନ୍ୟ ମାନଂକ ଖର୍ଚ ବାବଦକୁ ଟଂକା ନ ଦେଇ ପାରିବେ ନିଜ ରାଜ୍ୟର ଖଣ୍ଡେ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ହସ୍ତାନ୍ତର କରିବେ| ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନିଜାମ ଏହାକୁ ଗ୍ରହଣ କଲେ| ଏହାପରେ ସସିନ୍ଧିଆ ଉଦୟପୁର ଯୋଧପୁର ଯୟପୁର ଆଦିର ଶାସକ ମାନେ ଏହି ପ୍ରଥା ଗ୍ରହଣ କରି ନିଜ ନିଜ ରାଜ୍ୟରୁ କିଛି ଅଂଶ ଇଂଗ୍ରେଜ଼ ମନକୁ ହସ୍ତାନ୍ତର କରିଥିଲେ|, 5
IMG20, ଭାରତରେ ଶାସନ ବିସ୍ତାର କରି ଇଂଗ୍ରେଜ଼ ମାନଂକ ଉପରେ ବିସ୍ତାର କରିବା ପାଇଁ ୱେଲସେଲି ଏକ ପ୍ରଥା ପ୍ରଚଳନ କରିଥିଲେ| ତାହା ହଉଛି ସାମନ୍ତ ସନ୍ଧି| ଏହି ସନ୍ଧିରେ ଅନେକ ରାଜା ଏଥିରେ ଥିଲେ| ଏହି ସନ୍ଧିରେ ଭାଗ ନେଇଥିବା ରାଜା ମାନଂକ ସହିତ ସନ୍ଧି ସ୍ଥାପନ କରିବେ ଓ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଆଦେଶ ନ ନେଇ କୌଣସି ଦେଶୀୟ ତଥା ବିଦେଶୀ ମାନଂକ ସହିତ ସମ୍ପର୍କ ରଖିବେ ନାହିଁ| ଏହି ସନ୍ଧିରେ ଭାଗ ନେଇଥିବା ରାଜା ମାନେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଠାରୁ ଦଳେ ଟଂକା ରାଜ୍ୟରେ ରହିବେ ଓ ଖର୍ଚ ମଧ୍ୟ ସେମାନଙ୍କୁ ଦେବାକୁ ପଡେ| ଯଦି ରାଜା ଅର୍ଥ ଦେବାକୁ ଅସମର୍ଥ ହେଲେ ତେବେ ନିଜ ରାଜ୍ୟରୁ ଅଧା ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବ|, 3
IMG21, ଏହା ଇଂଗ୍ରେଜ଼ ମାନଂକ ରାଜ୍ୟ ବିସ୍ତାର ଉଦ୍ଦେଶ୍ୟରେ ପ୍ରଣୟନ କରିଥିଲେ| ଏହାର ସର୍ତ ଗୁଡିକ ଥିଲା ଯେଉଁ ମାନେ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନେ ଇଂଗ୍ରେଜ଼ ମାନଂକ ଅଧୀନରେ ରହି ବନ୍ଧୁ ହେବେ| ଯେଉଁ ମଧ୍ୟ ରାଜ୍ୟ ଏହି ସନ୍ଧି ଗ୍ରହଣ କରିବା ସେହି ଇଂଗ୍ରେଜ଼ ମାନଂକ ବିନା ଅନୁମତିରେ କେଉଁ ମଧ୍ୟ ରାଜ୍ୟ ବା ଅନ୍ୟ ଦେଶ ସହ ସମ୍ବନ୍ଧ ରଖି ପାରିବେ ନାହିଁ| ଯେଉଁ ମାନେ ଏହାକୁ ଗ୍ରହଣ କରିବେ ସେମାନଙ୍କୁ ନିଜ senare ଦଳେ ଇଂଗ୍ରେଜ଼ ସେନାଙ୍କୁ ମଧ୍ୟ ରଖି ତାଙ୍କୁ ଦରମା ଦେବାକୁ ପଡିବ| ଯଦି ସେ ଦରମା ନ ଦେଇ ପାରନ୍ତି ତେବେ ତାଂକ ନିଜ ରାଜ୍ୟର କିଛି ଅଂଚଳ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବାକୁ ପଡିବ| ଏହା ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନିଜାମ ଗ୍ରହଣ କରିଥିଲେ|, 4
IMG22, ଇଂଗ୍ରେଜ଼ ମାନଂକ ବିନା ଅନୁମତିରେ କୌଣସି ଦେଶ ସହ ବାଣିଜ୍ୟ କାରୋବାର କିମ୍ବା ମିତ୍ରତା କରି ପାରିବେ ନାହିଁ| ନିଜ ରାଜ୍ୟରେ ନିଜର ସୁରକ୍ଷା ନିମନ୍ତେ ଇଂଗ୍ରେଜ଼ ମାନଙ୍କର ଦଳେ ସୈନ୍ୟକୁ ନିଜ ଖର୍ଚରେ ରଖିବେ| ଯଦି ଖର୍ଚ ନଦେଇପାରନ୍ତି ତେବେ ନିଜ ରାଜ୍ୟର ଗୋଟିଏ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେବେ| ଇଂଗ୍ରେଜ଼ ମାନଙ୍କର ଏହି ନୀତି କୁ ପ୍ରଥମେ ହାଇଦ୍ରାବାଦର ନବାବ ଗ୍ରହଣ କରିଥିଲେ| ଏହାପରେ ଏଇ ନୀତିକୁ ବିଭିନ୍ନ ଦେଶୀୟ ରାଜ୍ୟର ରାଜା ଗ୍ରହଣ କରି ନିଜ ରାଜ୍ୟର ଖଣ୍ଡେ ଅଂଶ ଇଂଗ୍ରେଜ଼ ମାନଂକୁ ଦେଇ ନିଜ ସ୍ୱାଧୀନତା କୁ ହରାଇ ଥିଲେ|, 3
IMG23, ଯେଉଁ ପ୍ରଭାବରେ ରାଜାମାନେ ଇଂଗ୍ରେଜ଼ଙ୍କ ଅଧୀନ ଆଣିବା ବା ରାଜ୍ୟ ଗୁଡିକ ପ୍ରଭାବ ବିସ୍ତାର ପକାଇବାକୁ ସାମନ୍ତ ସନ୍ଧି ବା ଅଧୀନତାମୂଳକ କୁହା ଯାଏ| ଏହାକୁ ଇଂଗ୍ରେଜ଼ଙ୍କ ଗଭର୍ଣ୍ଣର ୱେଲସେଲି ପ୍ରଚଳନ କରିଥିଲେ| ସର୍ତ୍ତାଗୁଡ଼ିକ ହେଲା ବୈଦେଶିକ ବା ଦେଶୀୟ ଶକ୍ତି ସହ ସମ୍ପର୍କ ରଖି ପାରିବେ ନାହିଁ| ତାଂକ ରାଜ୍ୟରେ ଦଳେ ଇଂଗ୍ରେଜ଼ୀ ସୈନ୍ୟ ରଖିବାକୁ ହେବେ| ଯଦି ତାଂକ ଖର୍ଚରେ ଅସମର୍ଥ ହେଲେ ନିଜ ରାଜ୍ୟର ଅଂଶ ଦେବାକୁ ପଡିବ| ହାଇଦ୍ରାବାଦର ବାଁଜ଼ୀର ଯୋଧପୁର ଯୟପୁର ଉଦୟପୁର ଭଳି କେତେକ ରାଜ୍ୟ ଏହାକୁ ଗ୍ରହଣ କରି ସାରିଲେନି|, 5
IMG24, NAN, 4.5
